ISBN13,Title,Authors,Format,Number of Pages,Read Status,Date Read,Date Added,Year Published,Star Rating,Average Rating,Moods,Pace,Genre
9.78125E+12,"Legendary (Caraval, #2)",Stephanie Garber,hardcover,451,read,,2019-09-24 00:00:00,2018,5,4.22,"challenging, mysterious",fast,"Fantasy, Young Adult, Romance, Fiction, Mystery, Magic"
9.78125E+12,"Dance of Thieves (Dance of Thieves, #1)",Mary E. Pearson,hardcover,512,to-read,,2019-10-01 00:00:00,2018,0,4.2,,,
9.78162E+12,"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,hardcover,980,read,,2019-04-20 00:00:00,2018,5,4.63,"adventurous, emotional",slow,"Fantasy, Young Adult, Romance, New Adult, Fiction, Magic"
9.78178E+12,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,paperback,561,read,,2017-08-22 00:00:00,2016,4,4.61,"adventurous, dark, emotional",medium,"Fantasy, Young Adult, Fiction, Romance, Magic"
9.78148E+12,"The Toll (Arc of a Scythe, #3)",Neal Shusterman,hardcover,625,read,2020-01-12 00:00:00,2019-12-26 00:00:00,2019,5,4.21,"adventurous, dark, emotional, tense",medium,"Young Adult, Fantasy, Dystopia, Science Fiction, Fiction, Romance"
9.78125E+12,"There Will Come a Darkness (The Age of Darkness, #1)",Katy Rose Pool,hardcover,496,to-read,,2019-12-29 00:00:00,2019,0,3.79,,,
9.78077E+12,"A Gathering of Shadows (Shades of Magic, #2)",V.E. Schwab,hardcover,512,read,2022-10-27 00:00:00,2022-04-19 00:00:00,2016,5,4.24,"adventurous, dark, mysterious, tense",medium,"Fantasy, Fiction, Young Adult, Magic, Adult"
9.78153E+12,Spinning Silver,Naomi Novik,hardcover,465,to-read,,2020-02-20 00:00:00,2018,0,4.21,,,
9.78162E+12,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,hardcover,432,read,,2017-08-23 00:00:00,2015,3,4.2,"adventurous, dark, emotional",medium,"Fantasy, Romance, New Adult, Fae, Fiction"
9.78001E+12,"A Torch Against the Night (An Ember in the Ashes, #2)",Sabaa Tahir,hardcover,452,read,,2019-10-01 00:00:00,2016,4,4.25,"adventurous, dark, emotional",medium,"Fantasy, Young Adult, Romance, Fiction, Magic"
9.78125E+12,"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,hardcover,408,to-read,,2021-12-30 00:00:00,2021,0,4.15,,,
9.78144E+12,"Keeper of the Lost Cities (Keeper of the Lost Cities, #1)",Shannon Messenger,hardcover,496,read,,2019-08-09 00:00:00,2012,5,4.43,"adventurous, funny, hopeful, lighthearted",fast,"Fantasy, Middle Grade, Fiction, Romance, Adventure, Magic, Mystery"
9.78161E+12,"The Missing of Clairedelune (The Mirror Visitor, #2)",Christelle Dabos,hardcover,512,to-read,,2019-12-21 00:00:00,2019,0,4.48,,,
9.78148E+12,"Lodestar (Keeper of the Lost Cities, #5)",Shannon Messenger,paperback,688,read,,2019-08-25 00:00:00,2016,5,4.57,"adventurous, emotional, funny, mysterious",fast,"Fantasy, Middle Grade, Fiction, Romance, Adventure, Magic, Mystery"
9.78162E+12,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,hardcover,689,read,,2019-04-20 00:00:00,2016,5,4.57,"adventurous, dark, emotional",medium,"Fantasy, Young Adult, Romance, New Adult, Fiction, Magic"
9.78148E+12,"The Last Magician (The Last Magician, #1)",Lisa Maxwell,hardcover,500,to-read,,2020-01-01 00:00:00,2017,0,4.05,,,
9.78077E+12,"The Final Empire (Mistborn, #1)",Brandon Sanderson,hardcover,541,to-read,,2021-12-30 00:00:00,2006,0,4.47,,,
9.78152E+12,"Aurora Rising (The Aurora Cycle, #1)","Jay Kristoff, Amie Kaufman",hardcover,473,read,2019-07-27 00:00:00,2019-07-15 00:00:00,2019,3.5,4.12,"adventurous, emotional, funny",fast,"Science Fiction, Young Adult, Fantasy, Romance, Space, Fiction"
9.78125E+12,"Ninth House (Alex Stern, #1)",Leigh Bardugo,hardcover,461,read,2020-02-18 00:00:00,2019-12-19 00:00:00,2019,3,4.04,"dark, mysterious, tense",medium,"Fantasy, Fiction, Mystery, Adult, Horror, Paranormal, Urban Fantasy"
9.78168E+12,"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.1)",Sarah J. Maas,hardcover,229,read,,2019-04-20 00:00:00,2018,4,3.81,"emotional, funny, hopeful, lighthearted",fast,"Fantasy, Romance, New Adult, Fae, Fiction"
9.78176E+12,The Rift,Rachael Craw,paperback,368,to-read,,2020-09-20 00:00:00,2018,0,3.92,,,
9.78032E+12,Circe,Madeline Miller,hardcover,393,to-read,,2019-08-03 00:00:00,2018,0,4.25,,,
9.78163E+12,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,hardcover,465,read,2018-02-27 00:00:00,2017-08-17 00:00:00,2015,4,4.49,"adventurous, challenging, emotional, funny",fast,"Fantasy, Young Adult, Fiction, Romance, Magic"
9.78164E+12,"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,hardcover,803,read,2021-11-17 00:00:00,2020-01-12 00:00:00,2020,4.25,4.48,"adventurous, dark, emotional, funny, tense",slow,"Fantasy, Romance, Adult, Fae, Urban Fantasy, Fiction, New Adult"
9.78006E+12,"King of Ashes (The Firemane Saga, #1)",Raymond E. Feist,hardcover,499,read,,2019-12-19 00:00:00,2018,3,4.19,adventurous,medium,"Fantasy, Fiction, Epic Fantasy, Adult, High Fantasy"
9.78173E+12,"The Bridge Kingdom (The Bridge Kingdom, #1)",Danielle L. Jensen,hardcover,354,to-read,,2020-01-19 00:00:00,2019,0,4.08,,,
9.78168E+12,"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,hardcover,660,read,,2019-04-20 00:00:00,2017,4,4.27,"adventurous, emotional",medium,"Fantasy, Young Adult, Romance, New Adult, Fiction, Magic"
9.78032E+12,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,hardcover,370,read,,2019-05-03 00:00:00,2018,4,4.08,"adventurous, dark, tense",fast,"Fantasy, Young Adult, Romance, Fae, Fiction, Magic"
9.78168E+12,"Broken Prince (The Royals, #2)",Erin Watt,paperback,370,read,,2019-04-20 00:00:00,2016,3,4,"adventurous, tense",fast,"Romance, New Adult, Contemporary, Young Adult, Fiction, High School"
9.78059E+12,"Spin the Dawn (The Blood of Stars, #1)",Elizabeth Lim,paperback,392,to-read,,2020-01-22 00:00:00,2019,0,4,,,
9.78006E+12,"One Dark Throne (Three Dark Crowns, #2)",Kendare Blake,paperback,448,read,2020-01-27 00:00:00,2020-01-19 00:00:00,2017,4,4.05,"adventurous, dark, tense",medium,"Fantasy, Young Adult, Fiction, Magic, Romance"
9.78162E+12,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,hardcover,565,read,,2019-04-20 00:00:00,2014,4,4.46,"adventurous, dark, emotional",medium,"Fantasy, Young Adult, Romance, New Adult, Fiction, Magic"
9.78198E+12,"Wicked Fox (Gumiho, #1)",Kat Cho,hardcover,429,read,2019-09-13 00:00:00,2019-08-04 00:00:00,2019,3,3.75,"emotional, mysterious, tense",fast,"Fantasy, Young Adult, Romance, Mythology, Paranormal, Urban Fantasy"
9.78006E+12,"Evermore (Everless, #2)",Sara Holland,digital,368,read,2019-12-26 00:00:00,2019-12-19 00:00:00,2018,3,3.54,"adventurous, emotional, mysterious, tense",fast,"Fantasy, Young Adult, Romance, Fiction, Magic"
9.7816E+12,"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,hardcover,446,read,2019-10-01 00:00:00,2019-09-24 00:00:00,2016,4,4.26,"dark, emotional, tense",medium,"Fantasy, Young Adult, Romance, Fiction, Magic"
9.78163E+12,"Clean Sweep (Innkeeper Chronicles, #1)",Ilona Andrews,digital,225,to-read,,2019-07-22 00:00:00,2013,0,4.16,,,
9.78151E+12,The Deathless Girls,Kiran Millwood Hargrave,hardcover,304,to-read,,2020-02-19 00:00:00,2019,0,3.49,,,
9.78006E+12,"The City of Brass (The Daevabad Trilogy, #1)",S.A. Chakraborty,hardcover,544,to-read,,2019-12-29 00:00:00,2017,0,4.15,,,
9.78125E+12,"Nevernight (The Nevernight Chronicle, #1)",Jay Kristoff,hardcover,427,to-read,,2019-10-01 00:00:00,2016,0,4.23,,,
9.78192E+12,"Spark (Spark, #1)",Rachael Craw,paperback,464,to-read,,2020-09-20 00:00:00,2014,0,4.08,,,
9.78078E+12,"Poison Study (Study, #1)",Maria V. Snyder,paperback,427,read,2023-01-20 00:00:00,2023-01-15 00:00:00,2007,3,4.1,"adventurous, challenging, dark, tense",fast,"Fantasy, Young Adult, Magic, Romance, Fiction, High Fantasy, Adventure, Paranormal"
9.78137E+12,"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,hardcover,376,read,2022-10-26 00:00:00,2022-02-26 00:00:00,2020,4,4.23,"adventurous, challenging, mysterious, tense",fast,"Mystery, Young Adult, Romance, Fiction, Contemporary, Mystery Thriller, Fantasy"
9.78125E+12,If We Were Villains,M.L. Rio,hardcover,354,to-read,,2019-10-13 00:00:00,2017,0,4.23,,,
9.78006E+12,"Get a Life, Chloe Brown (The Brown Sisters, #1)",Talia Hibbert,paperback,373,read,2023-01-02 00:00:00,2022-11-03 00:00:00,2019,3.75,3.84,"emotional, funny, hopeful, lighthearted, reflective",fast,"Romance, Contemporary, Fiction, Adult, Chick Lit"
9.7804E+12,"The Wrath and the Dawn (The Wrath and the Dawn, #1)",Renee Ahdieh,hardcover,416,read,,2019-04-20 00:00:00,2015,3,4.07,"adventurous, emotional",fast,"Fantasy, Young Adult, Retellings, Historical Fiction, Fiction, Romance"
9.78148E+12,"Flashback (Keeper of the Lost Cities, #7)",Shannon Messenger,paperback,848,read,,2019-08-28 00:00:00,2018,5,4.39,"adventurous, emotional, funny, mysterious",medium,"Fantasy, Middle Grade, Fiction, Romance, Adventure, Magic, Mystery"
9.78006E+12,"Truly Devious (Truly Devious, #1)",Maureen Johnson,hardcover,416,to-read,,2019-12-28 00:00:00,2018,0,3.98,,,
9.78032E+12,"The Final Gambit (The Inheritance Games, #3)",Jennifer Lynn Barnes,hardcover,400,read,31/10/2022 0:00,31/10/2022 0:00,2022,4,4.18,,,"Mystery, Young Adult, Romance, Fiction, Contemporary, Mystery Thriller, Fantasy"
9.78024E+12,"The Hawthorne Legacy (The Inheritance Games, #2)",Jennifer Lynn Barnes,hardcover,380,read,28/10/2022 0:00,26/10/2022 0:00,2021,3,4.26,,,"Mystery, Young Adult, Romance, Fiction, Contemporary, Mystery Thriller, Fantasy"
9.78168E+12,"A Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,hardcover,757,read,,19/02/2022 0:00,2021,4,4.42,,,"Fantasy, Romance, New Adult, Fae, Fiction"
